"","birth_year","height.cm","height.in","study_id"
"97",1850,167.190002441406,65.8228356068528,"germanconscript"
"98",1850,159.5,62.7952755905512,"germanconscript"
"99",1850,160.729995727539,63.2795258769839,"germanconscript"
"100",1850,162.960006713867,64.1574829582154,"germanconscript"
"101",1850,160.729995727539,63.2795258769839,"germanconscript"
"102",1850,159.5,62.7952755905512,"germanconscript"
"103",1850,175.139999389648,68.9527556652159,"germanconscript"
"104",1850,161.130004882812,63.4370097963829,"germanconscript"
"105",1850,164.360000610352,64.7086616576187,"germanconscript"
"106",1850,181,71.259842519685,"germanconscript"
"107",1850,156.869995117188,61.7598405973179,"germanconscript"
"108",1850,167.190002441406,65.8228356068528,"germanconscript"
"109",1850,169.619995117188,66.779525636688,"germanconscript"
"110",1850,166.190002441406,65.4291348194513,"germanconscript"
"111",1850,172.050003051758,67.7362216739204,"germanconscript"
