"","Code","Continent, Region, Country","century","decade","year","heights.cm","year_decade","height.in"
"127",233,"Estonia","19","6","0",174.1,"1960",68.5433070866142
"128",233,"Estonia","19","7","0",179.6,"1970",70.7086614173228
"129",233,"Estonia","19","8","0",179.1,"1980",70.511811023622
"130",246,"Finland","18","1","0",171.9,"1810",67.6771653543307
"131",246,"Finland","18","2","0",170.05,"1820",66.9488188976378
"132",246,"Finland","18","3","0",169.5,"1830",66.7322834645669
"133",246,"Finland","18","6","0",167.3,"1860",65.8661417322835
"134",246,"Finland","19","0","0",167.3,"1900",65.8661417322835
"135",246,"Finland","19","1","0",170.5,"1910",67.1259842519685
"136",246,"Finland","19","2","0",172.3,"1920",67.8346456692913
"137",246,"Finland","19","3","0",172.5,"1930",67.9133858267717
"138",246,"Finland","19","4","0",174.8,"1940",68.8188976377953
"139",246,"Finland","19","5","0",178,"1950",70.0787401574803
"140",246,"Finland","19","6","0",179.3,"1960",70.5905511811024
"141",246,"Finland","19","7","0",177.5,"1970",69.8818897637795
"142",246,"Finland","19","8","0",178.2,"1980",70.1574803149606
"143",372,"Ireland","18","1","0",168,"1810",66.1417322834646
"144",372,"Ireland","18","2","0",165.4,"1820",65.1181102362205
"145",372,"Ireland","18","3","0",168.1,"1830",66.1811023622047
"146",372,"Ireland","18","4","0",160.9,"1840",63.3464566929134
"147",372,"Ireland","18","7","0",168.45,"1870",66.3188976377953
"148",372,"Ireland","18","8","0",168.7,"1880",66.4173228346457
"149",372,"Ireland","18","9","0",169.1,"1890",66.5748031496063
"150",372,"Ireland","19","0","0",170,"1900",66.9291338582677
"151",372,"Ireland","19","2","0",171.919,"1920",67.6846456692913
"152",372,"Ireland","19","3","0",173.253,"1930",68.209842519685
"153",372,"Ireland","19","5","0",174.9,"1950",68.8582677165354
"154",372,"Ireland","19","6","0",175.8,"1960",69.2125984251969
"155",372,"Ireland","19","7","0",176.4,"1970",69.4488188976378
"156",372,"Ireland","19","8","0",176.6,"1980",69.5275590551181
"157",428,"Latvia","18","4","0",166.5,"1840",65.5511811023622
"158",428,"Latvia","18","8","0",170.6,"1880",67.1653543307087
"159",428,"Latvia","18","9","0",171.7,"1890",67.5984251968504
"160",428,"Latvia","19","0","0",171.4,"1900",67.4803149606299
"161",428,"Latvia","19","4","0",174.211,"1940",68.5870078740158
